No.	MolID	Molecule	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI1	TI2	STN	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PW5	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr06	T(Cl..Cl)	X0	X1	X2	X3	X4	X5	X0A	X2A	X3A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
1	PCB_001.HIN	2-chloro-1,1'-biphenyl	64	129.605	73	146.111	9	9.534	2	2.082	0.324	26.333	3	17	46.706	36.923	0.276	1066	1560.272	1042	2122.667	13.025	3.722	240	3.077	21.761	34.893	175.667	11.308	2.096	3.584	583	25.074	504	2191	6.626	40.34	1172	170.235	170.065	178	175.482	175.688	1.885	2.625	2.627	2.536	2.564	2.561	0.867	1.948	4.224	11.643	44.106	8.331	3.628	1.731	2.325	0.976	0.559	0.329	0.183	0.095	0.75	151	72	5.538	0.805	5.621	26	142	22	2	0.569	1.884	74.208	0	9.096	6.377	5.324	4.433	3.608	2.793	0.7	0.296	0.193	0.129	0.087	7.83	4.555	3.253	2.288	1.558	0.99	0.602	0.325	0.181	0.099	0.056	9.596	6.666	5.694	4.792	3.929	3.021	41.437	2.57	77.168
2	PCB_002.HIN	3-chloro-1,1'-biphenyl	64	129.605	72	145.111	9	9.534	2	2.082	0.324	26.333	3	16	47.028	37.846	0.285	1092	1590.938	1070	2158.222	13.108	3.886	246	3.154	21.635	34.619	178.667	11.501	2.2	3.584	616	24.89	498	2128	6.653	41.289	1172	174.235	174.065	182	179.482	179.688	1.833	2.556	2.558	2.475	2.5	2.498	0.888	1.784	4.093	11.247	44.106	8.331	3.628	1.902	2.325	0.975	0.56	0.315	0.173	0.096	0.75	153	73	5.615	0.876	5.68	27	141	22	2	0.569	1.95	75.158	0	9.096	6.36	5.43	4.293	3.515	2.782	0.7	0.302	0.195	0.13	0.087	7.83	4.549	3.313	2.167	1.489	0.985	0.602	0.325	0.184	0.098	0.055	9.596	6.649	5.838	4.556	3.768	2.996	41.336	2.591	76.423
3	PCB_003.HIN	4-chloro-1,1'-biphenyl	64	129.605	72	145.111	9	9.534	2	2.082	0.324	26.333	3	16	47.319	38.769	0.295	1118	1621.605	1098	2193.778	13.204	4.017	252	3.231	21.569	34.437	179.667	11.565	2.241	3.584	655	24.787	492	2071	6.692	42.491	1172	178.235	178.065	186	183.482	183.688	1.789	2.498	2.5	2.424	2.447	2.445	0.889	1.688	3.977	11.146	40.106	8.331	3.628	1.902	2.325	0.975	0.562	0.316	0.164	0.095	1	168	80	6.154	0.959	6.024	28	140	26	2	0.569	2.2	76.36	0	9.096	6.36	5.418	4.377	3.363	2.782	0.7	0.301	0.199	0.129	0.087	7.83	4.549	3.309	2.203	1.399	0.985	0.602	0.325	0.184	0.1	0.054	9.596	6.649	5.826	4.666	3.53	2.996	41.336	2.605	75.968
4	PCB_004.HIN	2,2'-dichloro-1,1'-biphenyl	70	137.21	81	156.222	10	9.94	1.909	2.034	0.317	28.667	4	20	51.767	41	0.26	1252	1778.321	1211	2330.58	13.874	5.561	287	3.154	23.929	39.41	215	12.884	2.106	3.584	704	27.788	607	2736	8.076	47.195	1419	199.51	199.142	216.333	210.879	211.325	1.963	2.777	2.781	2.609	2.66	2.655	0.944	1.961	7.844	15.284	39.303	9.564	4.031	1.941	2.753	1.008	0.57	0.342	0.188	0.098	0.75	162	78	5.571	0.776	6.286	29	168	22	5	0.673	1.842	80.679	5	9.966	6.788	5.851	4.906	3.962	3.113	0.712	0.293	0.189	0.124	0.084	8.887	5.039	3.774	2.697	1.834	1.219	0.635	0.336	0.189	0.104	0.057	10.966	7.365	6.593	5.622	4.58	3.689	47.077	2.603	87.51
5	PCB_005.HIN	2,3-dichloro-1,1'-biphenyl	70	137.21	81	156.222	10	9.94	1.909	2.034	0.317	28.667	4	20	51.957	41.571	0.265	1270	1801.877	1231	2359.815	13.932	5.582	291	3.198	23.875	39.269	216.167	12.954	2.147	3.584	728	27.705	595	2610	8.127	48.188	1393	201.843	201.475	218.667	213.212	213.658	1.933	2.745	2.749	2.58	2.63	2.626	1.076	1.985	7.657	15.4	49.303	9.564	4.031	1.941	2.753	1.008	0.572	0.343	0.18	0.093	0.75	164	79	5.643	0.837	6.286	29	176	26	5	0.673	1.924	81.629	3	9.966	6.788	5.829	5.025	3.851	2.969	0.712	0.291	0.193	0.124	0.082	8.887	5.039	3.753	2.855	1.754	1.123	0.635	0.336	0.188	0.11	0.057	10.966	7.365	6.533	6.014	4.379	3.368	47.077	2.613	87.134
6	PCB_006.HIN	2,3'-dichloro-1,1'-biphenyl	70	137.21	80	155.222	10	9.94	1.909	2.034	0.317	28.667	4	19	52.103	42	0.268	1282	1812.543	1243	2369.296	13.959	5.704	294	3.231	23.792	39.102	218.5	13.094	2.207	3.584	743	27.586	600	2660	8.104	48.26	1419	204.177	203.809	221	215.545	215.992	1.911	2.705	2.709	2.549	2.597	2.593	0.942	1.957	7.5	14.76	53.303	9.564	4.031	2.106	2.753	1.007	0.571	0.329	0.179	0.095	0.75	164	79	5.643	0.837	6.286	30	168	24	5	0.673	1.924	81.629	6	9.966	6.771	5.957	4.76	3.915	2.988	0.712	0.298	0.19	0.126	0.083	8.887	5.033	3.834	2.574	1.786	1.133	0.635	0.336	0.192	0.103	0.058	10.966	7.348	6.736	5.381	4.49	3.411	46.976	2.624	86.684
7	PCB_007.HIN	2,4-dichloro-1,1'-biphenyl	70	137.21	80	155.222	10	9.94	1.909	2.034	0.317	28.667	4	19	52.267	42.571	0.274	1300	1836.099	1263	2398.531	14.029	5.723	298	3.275	23.76	39.004	217.667	13.044	2.169	3.584	771	27.535	588	2546	8.178	49.629	1393	206.51	206.142	223.333	217.879	218.325	1.888	2.682	2.686	2.528	2.575	2.571	1.005	1.968	7.446	14.81	49.303	9.564	4.031	2.106	2.753	1.007	0.571	0.328	0.179	0.095	1	179	86	6.143	0.898	6.653	30	176	28	5	0.673	2.156	82.831	4	9.966	6.771	5.957	4.753	3.951	2.937	0.712	0.298	0.19	0.127	0.082	8.887	5.033	3.834	2.564	1.859	1.113	0.635	0.336	0.192	0.103	0.06	10.966	7.348	6.736	5.347	4.7	3.324	46.976	2.634	86.441
8	PCB_008.HIN	2,4'-dichloro-1,1'-biphenyl	70	137.21	80	155.222	10	9.94	1.909	2.034	0.317	28.667	4	19	52.408	43	0.278	1312	1846.765	1275	2408.012	14.059	5.82	301	3.308	23.718	38.896	219.667	13.164	2.246	3.584	789	27.471	593	2591	8.145	49.598	1419	208.843	208.475	225.667	220.212	220.658	1.867	2.645	2.648	2.498	2.543	2.539	0.93	1.954	7.299	14.61	49.303	9.564	4.031	2.106	2.753	1.007	0.574	0.33	0.171	0.094	1	181	87	6.214	0.959	6.571	31	168	30	5	0.673	2.182	82.831	7	9.966	6.771	5.946	4.844	3.759	3.023	0.712	0.297	0.194	0.125	0.084	8.887	5.033	3.83	2.611	1.696	1.146	0.635	0.336	0.192	0.104	0.057	10.966	7.348	6.725	5.491	4.247	3.464	46.976	2.639	86.173
9	PCB_009.HIN	2,5-dichloro-1,1'-biphenyl	70	137.21	80	155.222	10	9.94	1.909	2.034	0.317	28.667	4	19	52.044	41.857	0.267	1278	1808.988	1239	2366.136	13.956	5.672	293	3.22	23.804	39.136	216.833	12.994	2.13	3.584	737	27.605	593	2597	8.158	48.76	1393	203.176	202.809	220	214.545	214.991	1.921	2.726	2.73	2.566	2.615	2.61	0.965	1.961	7.562	14.862	49.303	9.564	4.031	2.106	2.753	1.007	0.571	0.328	0.179	0.105	0.75	164	79	5.643	0.837	6.408	29	180	26	5	0.673	1.924	81.629	5	9.966	6.771	5.957	4.776	3.796	3.252	0.712	0.298	0.191	0.122	0.086	8.887	5.033	3.834	2.578	1.735	1.319	0.635	0.336	0.192	0.103	0.056	10.966	7.348	6.736	5.396	4.303	4.026	46.976	2.624	86.772
10	PCB_010.HIN	2,6-dichloro-1,1'-biphenyl	70	137.21	81	156.222	10	9.94	1.909	2.034	0.317	28.667	4	20	51.711	40.857	0.259	1248	1774.765	1207	2327.42	13.868	5.52	286	3.143	23.952	39.46	213.667	12.804	2.049	3.584	699	27.821	600	2666	8.112	47.477	1393	198.51	198.142	215.333	209.879	210.325	1.973	2.798	2.802	2.625	2.677	2.673	0.983	1.968	7.874	15.411	40.548	9.564	4.031	1.941	2.753	1.008	0.569	0.34	0.193	0.095	0.75	162	78	5.571	0.776	6.163	28	180	26	5	0.673	1.842	80.679	4	9.966	6.788	5.861	4.827	4.156	2.953	0.712	0.293	0.186	0.126	0.082	8.887	5.039	3.777	2.655	1.994	1.122	0.635	0.336	0.189	0.102	0.06	10.966	7.365	6.602	5.501	5.009	3.359	47.077	2.601	87.641
