No.	MolID	Molecule	MP	RRT	logP	TSA	logH	logSw	logYw	dHf
1	PCB_001.HIN	2-chloro-1,1'-biphenyl	34	0.1544	-999	208.33	-999	-999	4.671	14.5
2	PCB_002.HIN	3-chloro-1,1'-biphenyl	16.5	0.1937	4.66	209.87	-999	5.39	4.939	-999
3	PCB_003.HIN	4-chloro-1,1'-biphenyl	77.7	0.1975	4.63	209.87	-999	5.33	4.783	13.3
4	PCB_004.HIN	2,2'-dichloro-1,1'-biphenyl	60.5	0.2245	4.72	224.32	3.37	5.72	5.059	-999
5	PCB_005.HIN	2,3-dichloro-1,1'-biphenyl	28	0.2785	4.99	223.87	-999	5.35	-999	-999
6	PCB_006.HIN	2,3'-dichloro-1,1'-biphenyl	-999	0.2709	4.84	-999	-999	5.26	5.585	-999
7	PCB_007.HIN	2,4-dichloro-1,1'-biphenyl	24.3	0.2566	5.15	225.85	3.48	5.56	5.364	-999
8	PCB_008.HIN	2,4'-dichloro-1,1'-biphenyl	40.5	0.2783	5.09	225.86	-999	5.46	5.402	-999
9	PCB_009.HIN	2,5-dichloro-1,1'-biphenyl	23	0.257	-999	225.85	3.88	-999	5.392	-999
10	PCB_010.HIN	2,6-dichloro-1,1'-biphenyl	35.5	0.2243	-999	224.32	-999	-999	5.174	12.6
11	PCB_011.HIN	3,3'-dichloro-1,1'-biphenyl	29	0.3238	5.27	227.43	2.33	6.45	5.763	-999
12	PCB_012.HIN	3,4-dichloro-1,1'-biphenyl	49.5	0.3298	5.23	225.41	2.05	6.39	-999	-999
13	PCB_013.HIN	3,4'-dichloro-1,1'-biphenyl	-999	0.3315	5.15	-999	-999	6.4	-999	-999
14	PCB_014.HIN	3,5-dichloro-1,1'-biphenyl	36	0.2973	-999	227.39	-999	-999	-999	-999
15	PCB_015.HIN	4,4'-dichloro-1,1'-biphenyl	148.5	0.3387	5.23	-999	1.99	6.37	5.652	-999
16	PCB_016.HIN	2,3,2'-trichloro-1,1'-biphenyl	28.5	0.3625	5.12	-999	-999	6.1	5.914	-999
17	PCB_017.HIN	2,4,2'-trichloro-1,1'-biphenyl	-999	0.3398	5.39	-999	-999	6.49	-999	-999
18	PCB_018.HIN	2,5,2'-trichloro-1,1'-biphenyl	43.5	0.3378	5.33	-999	3.8	6.17	5.841	-999
19	PCB_019.HIN	2,6,2'-trichloro-1,1'-biphenyl	-999	0.3045	5.04	-999	-999	5.9	5.145	-999
20	PCB_020.HIN	2,3,3'-trichloro-1,1'-biphenyl	42	0.417	5.6	241.44	-999	-999	-999	-999
21	PCB_021.HIN	2,3,4-trichloro-1,1'-biphenyl	101.5	0.4135	5.68	241.41	-999	6.18	-999	-999
22	PCB_022.HIN	2,3,4'-trichloro-1,1'-biphenyl	73.1	0.4267	5.29	-999	-999	5.8	5.824	-999
23	PCB_023.HIN	2,3,5-trichloro-1,1'-biphenyl	41	0.377	-999	-999	-999	-999	-999	-999
24	PCB_024.HIN	2,3,6-trichloro-1,1'-biphenyl	-999	0.3508	5.44	-999	-999	6.49	6.052	-999
25	PCB_025.HIN	2,4,3'-trichloro-1,1'-biphenyl	-999	0.3937	5.54	-999	-999	6.11	-999	-999
26	PCB_026.HIN	2,5,3'-trichloro-1,1'-biphenyl	40.3	0.3911	5.65	239.41	3.25	6.14	5.982	-999
27	PCB_027.HIN	2,6,3'-trichloro-1,1'-biphenyl	-999	0.3521	-999	-999	-999	-999	6.824	-999
28	PCB_028.HIN	2,4,4'-trichloro-1,1'-biphenyl	56	0.4031	5.71	241.39	3.16	6.22	5.998	-999
29	PCB_029.HIN	2,4,5-trichloro-1,1'-biphenyl	78.5	0.382	-999	241.39	-999	-999	5.767	22.8
30	PCB_030.HIN	2,4,6-trichloro-1,1'-biphenyl	62.5	0.3165	-999	241.84	6.49	-999	5.702	16.5
31	PCB_031.HIN	2,5,4'-trichloro-1,1'-biphenyl	67	0.4024	5.68	234.39	-999	6.18	5.983	-999
32	PCB_032.HIN	2,6,4'-trichloro-1,1'-biphenyl	-999	0.3636	5.24	-999	-999	6.16	-999	-999
33	PCB_033.HIN	2,3',4'-trichloro-1,1'-biphenyl	65.5	0.4163	5.71	241.4	-999	6.21	5.941	-999
34	PCB_034.HIN	2,3',5'-trichloro-1,1'-biphenyl	58	0.3782	5.71	-999	-999	6.3	-999	-999
35	PCB_035.HIN	3,4,3'-trichloro-1,1'-biphenyl	-999	0.4738	-999	241.4	-999	-999	-999	-999
36	PCB_036.HIN	3,5,3'-trichloro-1,1'-biphenyl	-999	0.4375	-999	-999	-999	-999	-999	-999
37	PCB_037.HIN	3,4,4'-trichloro-1,1'-biphenyl	87.3	0.4858	-999	243.18	-999	-999	6.245	-999
38	PCB_038.HIN	3,4,5-trichloro-1,1'-biphenyl	-999	0.4593	-999	-999	-999	-999	-999	-999
39	PCB_039.HIN	3,5,4'-trichloro-1,1'-biphenyl	88	0.4488	-999	-999	-999	-999	-999	-999
40	PCB_040.HIN	2,3,2',3'-tetrachloro-1,1'-biphenyl	120.9	0.5102	5.67	255.4	2.02	6.83	6.083	-999
41	PCB_041.HIN	2,3,4,2'-tetrachloro-1,1'-biphenyl	-999	0.499	5.79	-999	-999	7	-999	-999
42	PCB_042.HIN	2,3,2',4'-tetrachloro-1,1'-biphenyl	69	0.487	5.72	-999	-999	6.96	6.245	-999
43	PCB_043.HIN	2,3,5,2'-tetrachloro-1,1'-biphenyl	-999	0.4587	-999	-999	-999	-999	-999	-999
44	PCB_044.HIN	2,3,2',5'-tetrachloro-1,1'-biphenyl	46.8	0.4832	5.73	257.43	-999	6.91	6.275	-999
45	PCB_045.HIN	2,3,6,2'-tetrachloro-1,1'-biphenyl	-999	0.4334	4.84	-999	-999	6.3	-999	-999
46	PCB_046.HIN	2,3,2',6'-tetrachloro-1,1'-biphenyl	-999	0.445	4.84	-999	-999	6.3	5.44	-999
47	PCB_047.HIN	2,4,2',4'-tetrachloro-1,1'-biphenyl	83	0.4639	5.94	259.38	-999	7.23	6.429	-999
48	PCB_048.HIN	2,4,5,2'-tetrachloro-1,1'-biphenyl	66	0.4651	5.69	-999	-999	6.86	6.683	-999
